Word,Count,achieve,adverb,affect,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,discrep,excl,filler,funct,future,health,hear,humans,i,incl,inhib,insight,ipron,leisure,money,motion,negate,negemo,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,sad,see,shehe,social,space,tentat,they,time,verb,we,work,you,
hi,6,0,0,0,0,0,0,0,0,4.651162790697675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hours,2,0,0,0,0,0,0,6.451612903225806,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
how,1,0,0,11.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0.2183406113537118,0,0.6711409395973155,0,0,3.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
i,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.436781609195403,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.021834061135372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.888888888888886,0,0,0,0,0,0,0,
i'll,1,0,0,0,0,0,0,0,0,0,8.333333333333334,0,0,0,0,1.1494252873563218,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,2.7777777777777777,0,0,1.5873015873015872,0,0,0,0,
id,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2988505747126435,1.7391304347826086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,5.555555555555555,0,0,3.1746031746031744,0,0,0,0,
if,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.647058823529413,0,0,0,0,0,0,0,14.285714285714286,6.0,0,0,0,0.6550218340611353,0,2.0134228187919465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666666666666668,0,0,
in,4,0,0,0,0,0,3.076923076923077,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8733624454148472,5.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
increases,1,0,0,0,0,0,0,0,0.8,0,0,0,4.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5714285714285716,0,0,0,
individually,1,0,0,0,0,0,0,0,0,0.7751937984496124,0,0,0,0,0,0,0,0,0,0,11.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
